Item,Unit Price (AUD),Quantity,Extended Price (AUD),Extended Price (USD approx),Notes,Link
100nF 0402 capacitor,0,2,0,0,Owned,https://www.lcsc.com/product-detail/C60474.html
10uF 0402 capacitor,0,7,0,0,Owned,https://www.lcsc.com/product-detail/C315248.html
onsemi NSR0320MW2T1G,0.16,10,1.6,1.18,MOQ 10,https://www.lcsc.com/product-detail/C48192.html
Green 0402 LED,0,1,0,0,Owned,https://www.lcsc.com/product-detail/C598352.html
Molex 67643-2911,1.34,2,2.68,1.92,N/A,https://www.lcsc.com/product-detail/C293351.html
Molex 104031-0811,1.05,1,1.05,0.75,N/A,https://www.lcsc.com/product-detail/C585350.html
Korean Hroparts Elec TYPE-C-31-M-12,0,2,0,0,Owned,https://www.lcsc.com/product-detail/C165948.html
1K 0402 resistor,0,1,0,0,Owned,https://www.lcsc.com/product-detail/C106235.html
5.1K 0402 resistor,0,2,0,0,Owned,https://www.lcsc.com/product-detail/C105872.html
56K 0402 resistor,0,2,0,0,Owned,https://www.lcsc.com/product-detail/C114756.html
CoreChips SL2.1A,1.65,1,1.65,1.18,N/A,https://www.lcsc.com/product-detail/C192893.html
GENESYS GL823K-HCY04,0.64,1,0.64,0.46,N/A,https://www.lcsc.com/product-detail/C284879.html
TPD2E2U06DCK,0.21,3,1.05,0.76,MOQ 5,https://www.lcsc.com/product-detail/C1855726.html
TPD6F003,0.93,1,0.93,0.67,N/A,https://www.lcsc.com/product-detail/C2863873.html
2mm acrylic sheet,6.25,1,6.25,4.53,200x200x2mm option,https://www.aliexpress.com/item/32817321651.html
PCB,-,5,-,5.3,N/A,https://jlcpcb.com
